,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
844,Let Them Be Little,Lonestar,5lk17ZE9flaFuXUerzxeYm,2004-05-13,0.395,0.396,-6.07,0.0292,0.578,0.104,0.318,118.7,-8.288147508518547
845,Do I,Luke Bryan,7A5CReD6yWe0rrkJym34QI,2009-01-01,0.581,0.691,-5.33,0.0333,0.257,0.11,0.299,137.985,-9.044832684022412
846,Bring On The Rain,Jo Dee Messina,1OnXz5v4hVdrNLJ9N4MqzL,2000-08-01,0.468,0.404,-7.25,0.0286,0.689,0.177,0.148,138.115,-9.209788484586714
847,Strip It Down,Luke Bryan,5XFu5S1vBY7sNHlheCapOz,2015-08-07,0.631,0.875,-3.589,0.0447,0.382,0.0867,0.705,137.961,-9.313009859396045
848,Mixed Drinks About Feelings,Eric Church,1EnoCmQSpJaiCyA3Kr87XG,2015-11-11,0.714,0.221,-12.929,0.032,0.516,0.0937,0.424,135.843,-9.387614978906218
849,Love Can Build A Bridge,The Judds,40XW3d74CGOrWPcNpJDeUi,1990-09-11,0.568,0.0985,-15.643,0.0322,0.772,0.0917,0.194,132.77,-9.650961581472455
850,Angels Among Us,Alabama,77FGTjA70Tvo3WTdsBSAUJ,1980,0.559,0.304,-10.922,0.029,0.936,0.139,0.34,137.724,-9.86753627001072
851,I Miss My Friend,Darryl Worley,0qnoS5hMZMphvKWi0D2LQh,2002-01-01,0.554,0.474,-7.843,0.025,0.155,0.0859,0.41,139.832,-10.976242659949543
852,I Would Die for That,Kellie Coffey,05SK88WGQwgytO2GCftlBB,2007-01-01,0.413,0.378,-7.673,0.0321,0.568,0.134,0.179,140.062,-11.187682131972446
853,Why,Rascal Flatts,5aFQ8js9G12JzIJN9Ct9ET,2009-01-01,0.349,0.334,-7.426,0.0282,0.786,0.144,0.236,141.098,-12.19457824790164
854,People Like You,Johnny Reid,1AQmokCoF8vBV2rbsZocJe,2020-05-01,0.561,0.229,-11.895,0.0321,0.784,0.103,0.197,139.952,-12.292675834834775
855,Whenever You Come Around,Vince Gill,3PHLZ5wmtyZha1pp2405OT,1994-01-01,0.719,0.22,-11.811,0.0294,0.736,0.118,0.168,115.375,-12.829753536487882
856,I'm Gonna Love You Through It,Martina McBride,4GwbSrCJFRze2tK4H12Zew,2011-01-01,0.431,0.657,-5.12,0.0304,0.317,0.0893,0.259,142.527,-13.588799189446524
857,One Friend,Dan Seals,3VWNwd48T1J9VR7cpcx4s1,1984-01-01,0.459,0.0565,-20.923,0.0371,0.815,0.105,0.386,125.151,-14.049317298469086
