,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
858,When Everything Means Nothing (Cinematic),Fit For A King,24FB9iplsN3nda8A3rbOem,2021-10-15,0.374,0.584,-7.231,0.035,0.0428,0.108,0.27,156.991,-15.445514960339892
859,Moon Over the Castle - from GRAN TURISMO 7,Bring Me The Horizon,42xYFBO1ahIWyisI7VVVEh,2022-02-04,0.491,0.813,-9.102,0.0369,0.000178,0.155,0.239,125.038,-15.663649965675926
860,IN THREES,AS IT IS,1TIBjAmf6B2K0xfcb7ja7r,2021-12-10,0.693,0.615,-5.353,0.0727,0.0132,0.124,0.395,123.954,-15.990197752662066
861,Breaking the Mirror - Acoustic,Fit For A King,24z5ojD093HnfiTk8yJnFT,2021-11-05,0.48,0.606,-6.773,0.0287,0.0765,0.205,0.463,157.996,-16.349977789403102
862,Someone Else,Loveless,2t52LXtpJ6mfoUNg0cbn3w,2021-06-04,0.44,0.872,-4.9,0.0792,0.0102,0.13,0.389,159.854,-17.996880796325748
863,Ghost in My Home,Point North,0bjwkqQ0lZSIes3IW7Aeq8,2018-10-31,0.426,0.97,-3.179,0.131,0.00772,0.129,0.424,160.034,-18.16820414530662
864,Out to the Inside,The Veer Union,4fIbgStSL1II8DS74pdI26,2021-12-17,0.48,0.918,-3.015,0.0979,0.00112,0.0892,0.381,120.044,-19.85839090811409
865,Anyone,Our Last Night,3ZpaN7NaUbYiVTEQn8Hxr5,2021-02-04,0.569,0.912,-3.927,0.0422,0.000375,0.147,0.37,119.996,-19.885882377706096
866,Hurricane,I Prevail,2GFwwTIVLjnOrtP7m9luHC,2019-03-29,0.389,0.885,-5.063,0.0551,0.000372,0.202,0.187,164.989,-23.134320568546155
867,My Consequences,Palisades,7v6ZM5DNsv5MeSR51JtM2c,2021-12-03,0.472,0.958,-3.846,0.203,0.000254,0.156,0.401,165.074,-23.19326471007893
868,The Stigma (Boys Don’t Cry),AS IT IS,2DQ7V0O22CG2xIQ7WPAocr,2018-08-10,0.326,0.858,-5.108,0.127,0.00456,0.144,0.129,167.122,-25.26791240407347
869,One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),Bring Me The Horizon,20Kau1BL5IUaPo4l488D57,2020-10-30,0.309,0.467,-8.574,0.0466,0.687,0.0886,0.288,112.995,-27.280685250527537
870,Cyberhex,Motionless In White,5nYKbDASgvCDV4BLVmuGv4,2022-03-11,0.526,0.944,-3.815,0.144,0.000207,0.0994,0.281,112.531,-27.351292394909553
871,Your Guardian Angel,The Red Jumpsuit Apparatus,2Guz1b911CbpG8L92cnglI,2006-01-01,0.29,0.48,-6.583,0.0296,0.116,0.626,0.382,112.62,-27.39164589766956
872,Cutting It Close,Rain City Drive,1jipnlJGT2EWWg9LoSY1De,2021-11-12,0.456,0.95,-2.606,0.0802,0.000211,0.388,0.377,112.014,-27.899091292928865
873,Heaven in Hiding,Imminence,4SwArKsYS1uHsBtNSFvi8U,2021-11-26,0.455,0.651,-5.785,0.0422,0.012,0.344,0.275,111.955,-27.986675846337743
874,Into The Dark (Acoustic),Point North,7mSgUS6LGK7Q8KoSHb0P4q,2020-09-18,0.503,0.398,-10.855,0.0304,0.317,0.121,0.62,170.002,-28.936894735541767
875,Mosaic,Of Mice & Men,42thhjmzUECWaRAW4i0KPh,2021-12-03,0.539,0.995,-4.834,0.151,9.59e-06,0.377,0.0598,110.012,-29.884838252722062
876,Alone Again,Asking Alexandria,3R6WrsYpIuxJw7ZGHT5w85,2021-08-20,0.496,0.969,-3.085,0.0688,7.49e-05,0.242,0.199,109.977,-29.916938880382276
877,Sacrifice,The Devil Wears Prada,3eJaCUXhOJsXy92dYGZ1uP,2021-09-29,0.221,0.962,-3.654,0.194,7.99e-05,0.491,0.147,173.942,-32.06496642178411
878,27 Club,Jeris Johnson,5VzSiFJ4aIIk7CH8edrMMm,2022-01-21,0.496,0.758,-5.895,0.042,0.0166,0.0862,0.517,173.981,-32.157955525644425
879,Vampire,Solence,1fwbJjRup8QgLuf6D1BWcE,2021-08-06,0.535,0.865,-4.786,0.0319,0.000175,0.262,0.377,107.0,-32.8922242242926
880,A Grave Mistake,Ice Nine Kills,2mMNBgFRyEiRoGvrdoONeq,2018-10-05,0.36,0.925,-3.775,0.0719,0.000838,0.115,0.446,175.088,-33.207275308942364
881,Anything at All - Orchestral Version,Dead by April,2J4SY3RRYoqQZJbOFU9RIy,2021-12-10,0.446,0.547,-6.15,0.0353,0.113,0.103,0.139,104.917,-35.03479738424943
882,I'd Rather See Your Star Explode (Wild Cards Remix),SLAVES,14zutO1msr7gG6aDlQOIy8,2019-10-25,0.444,0.731,-4.699,0.0534,0.019,0.0972,0.31,178.11,-36.23668786450283
883,Hostage,No Resolve,52OSF0Q6raA5sTdU5d0eJh,2021-11-05,0.486,0.966,-3.769,0.111,0.000175,0.683,0.399,96.932,-42.95270089607383
